tweet,class
Deion's a bitch,1
RT @cigarsNscotch: What's black and yellow and not going to win this year? WRONG! The answer is Tiger Woods.,0
RT @EvanBecker513: @whattheflocka omg you're a nigger.,1
RT @tr4pb0y: when the pussy so good &amp; u forget to pull out http://t.co/653Te4sUhr,1
@CarelessOne92 a young nigga turned into Mr. CATCHMEIFYOUCAN....I'm in da field my nig #WEDAOPPS #FUKEMWEBALL,1
@LornaLovesMatt @delon03 @aaryneliza poor poor parker has nothing...without aaryn 2 bitch about no 1 would even know he was around a looser,1
Sesh with my n-words say it like a white kid yes my Kush is betta than yours u are a whore so please kill yo self fool bitch ass,1
RT @PopeBeLoud: &#8220;@GrandHustla_: Everybody got at one bitch on dey insta TL who got a baby &amp; it gets NO likes... Y'all fucked up ! &#128514;&#8221; lmao t&#8230;,1
RT @KennedyLeighxxx: You can't be ugly AND a shitty fucking person. Pick a struggle bitch.,1
RT @Xendaya_xo: If you're attractive &amp; you think ANY straight guy just wants to be your friend...bitch you stupid,1
Bad bitch pussy aquafina call her Crystalina,1
@BarackObama Biden was a winner last night? Yea right like Charlie Sheen Really was a a winner too.... #winning lol,2
@Lucci_Dpc What did I prove for you? That you're blissfully ignorant? Group thinker? Political chump and race traitor?,2
"""Used to have a girlfriend, now all I got is hoes.. I was lookin for a good girl, but she was fuckin on the low.""",1
RT @_JohnFKennedy_: One man's trash is another man's wife #Fact,1
&#8220;@Tinypinkisboss: can't stand a playin ass nigga&#9995;&#8221;bitch*,1
Hate when bitches get boyfriends then forget all about you like you wasn't there before they got together,1
"RT @yungtfti: If a bitch says ""eeeeeee"" she a hoe",1
Just had someone under 25 casually ask me what the 'FF' stood for on my car. R u fking serious &#128553; @FooFighters bitch.,1
@kieffer_jason and you got that pussy in your bllod,1
Got this bad Spanish bitch &#128514;&#128079;&#128076;&#128527;&#128536; .,1
"Can't wait till I get my full appetite back. Only ate a half ghetto sandwich. No lettuce, no nothing.",2
RT @hippiescrub: yaaas bitch yaas u so hot bitch yaaas @WhereYoHussleAt,1
Ross got Amber Rose naked these hoes ain't loyal wiz,1
"Do your dick hang low, do it wobble to and fro, can you tie it in a knot, can you stick it in a hoe?",1
Nope! It's just yellow OTL,2
@JerGucci ur avi prolly shoot dust out your phone cuz that shit so old u cat fishing the bitches on here lmao,1
@freshalina I call those my ghetto nunchucks...the reason I went 2 jail as well :(,1
If I ever ate your pussy before and you fucked over 3 niggas before that let me know right now because you owe me $100 you dirty bitch,1
Lmao RT @Handsomeesco_55 If u live wit ya girl and u do dishes u a faggot,0
@Joey_D26 you're such a pussy,1
@NotoriousBM95 @MANIAC3X fucking creepy ass nigguh lmao,1
"I ain't got no pussy or weed, I'm on that bitch suck my dick diet",1
"RT @dxpperjay: You assholes know that referring to a girl as ""bitch"" doesn't make your dick any bigger, right?",0
"Lil bitch coulda let me go, I was right by my house !",1
I'm boutta deck this bitch in the face .,1
These hoe niggas havnt seen half of me. #2chainz,1
@GoneWithKalijah She was always a pathetic mutt desperately seeking attention &amp; a purpose. No matter what JP writes that will never change,2
We hate you too lil nicca! Lol RT @redfernave: I Hate The Steelers Dawg,0
RT @Maxin_Betha Wipe the cum out of them faggot RT @80sbaby4life Contact lens is wildin can't see shit,1
"Fire, bitch. http://t.co/69ZrZ3MMNM",1
"Hahahhahaa RT @PrinceBama: Your boyfriend trash ma, stop tryna convince yourself otherwise in these tweets",1
Yall see Chojis kid? Big ass black bitch,1
"Former TOWIE star Charlie King comes out http://t.co/yU3XKXbCyt @YouTube

Inspiring. Congrats @CharlieKing85 and welcome to the family :)",2
i need to go to the mexican flea market and grab some fake gucci sandals so i can stunt on you hoes,1
Tellin me im disrespectful but i aint the one callin everybody a bitch for free,1
"""@sniffsockslad: Need these sox http://t.co/xydb1RchXh"" fuck yeah. I love a kinky scally lad w/ rank sox and sneaks",1
#FreeElChapo is trending?! why cus French Montana's bitch ass?? you fucks that think selling drugs is cool are the LAMEST POSERS!!,1
"RT @CayMarieee: I love my BFFL, she don't even smoke but for my bday bitch gone b turntttt fa me &#128153;&#128520;",1
Lmao. I still feel played bout this hoe.,1
"RT @ShadonHendrix: Same hoes running back tellin you shit about me be the same hoes trynna fuck you, same niggas tellin u shit be the mayne&#8230;",1
RT @LuvKittensDaily: Oreo being adorable http://t.co/5ZMZVT0sUl,2
"@AceWuzHere why you talking to me at 5, almost 6am. We ain&#8217;t friends, pussy.",1
RT @SheswantstheD: when u and ur boys discover a hoe http://t.co/3tK3UsCLwd,1
&#8220;@trapwavey: Lol rt. @Cameron5833: If yo bitch don't read books or eat fruits... She a hoe.&#8221;&#128514;&#128514;&#128514;,1
"#DerekJeter as a lifelong #Yankees man, I will miss you. #FirstBallot
#Unanimous",2
"RT @OGBEARD: And he still wont get no bitches RT ""@willyroast2: Wow wtf http://t.co/h4NUr7ZzB8""""",1
"Katy's grand exit tonight from Firehouse &gt;&gt;&gt;&gt;

Hasta la bye bye bitches &#128514;",1
RT @B1B_Lancer: Cue the liberal left's Uncle Tom attacks against Tim Scott in 4...3...2... #tcot #teaparty #GOP,2
So now he wanna LIE !? &#128514;&#128557; he's a fuccing joke &#9995;&#128564; ajay gotta whole bitch but oml trynna argue wit me &amp; shit like FIR WHAT BOI !?,1
RT @NickCoyne001: Guys who tweet shit to get a bunch of favorites are on the same level as hoes,1
@Oskzilla I'll bitch slap you to the shadow realm!,1
RT @ThatDamnHAM: @NapturallyDev @HeyJaiiiii @_halfCRAZY610 lol bitch you've put lotion on my butt &amp; orajel in my mouth. You'd paint my toes&#8230;,1
Regular joes rockin tha boat that's us redneck yacht clubbb&#9728;&#127926;,2
RT @irielee12: @drrrruuuu @Victoria_Finae ayyy what fags,1
"""riding with my bros still don't trust these hoes""",1
"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T",2
"RT @Zag_OX: Your girl hold my dick like a wii controller
Where's your bitch, nigga? We control her",1
RT @Youss_Mayer: &#8220;@SaddyBey: Fat bitch. What's her @? http://t.co/IZGkpcqIO0&#8221;&#128557;&#128514;&#128557;&#128557;&#128557;,1
&#128555;&#128555;&#128555;&#128555;&#128555;&#128532;&#128532;&#128532;&#128532;&#128532;&#128532; this fucking bitch Rachel needs to die please,1
@iStricer You are hairy like a monkey. : P,2
Dumb ass fake bitches childish shit!!! Talk mad shit about each other and back to BEST FRIENDS? lmao,1
If you're acting like more of a bitch than your bitch... there's a problem,1
"That last tweet was just song lyrics. I don't really like bad bitches, I like pretty chicks. Bad bitches cheat too easily and too often",1
"RT @krisinizu: I'm telling you, shaved pussy is ugly.",1
"Money, hoes, cars and clothes",1
"Ion pay for pussy, because her pussy priceless.. I go fishin in it and I ain't a Pisces",1
RT @CakebossLex: &#8220;@LaughAtProblems: I need me a bitch that can dance https://t.co/jDXiD5I9DK&#8221; lmfao this is ode,1
Sierra almost got caught with the ole hick &#128514;&#128514;&#128514;,2
RT @youngtravo: If u ain't never had a pregnancy scare your pussy trash ladies #professortrav,1
UPDATE: Three arrsted after German gay guy left in critical condition after being fag bashed in Belgrade http://t.co/5TNwQ2e7Q5,1
Stupid ass hoe,1
@_WORDtotheWISE some hoe shit,1
@CallMeRenee_ wussup bitch,1
"@CDNBallJunkie Spurs bitch that's the team, you dont want no problems",1
This bitch crazy,1
"@Dedicated_03 idk , I gotta think about it cause them bitches small as shit",1
Flights from Liberia should just be rerouted to Ferguson.. 2 birds 1 stone.,2
@jon_wayne_miles you better of called that kid a pussy!,1
I'm with 3 bitches &amp; 2 of em mix,1
U Lil stupid ass bitch I aint fucking wit youuuu&#8252;&#127911;,1
"""HOW DO YOU KNOW MY TWITTER PASSWORD"" bitch please",1
"I don't feel like all black people are niggers but if you're black and you're being a nigger, imma tell you, idc",1
Some of yall gorgeous women ain't so gorgeous when we realize you got a ugly bitch attitude.,1
Nah I definitely gotta find me a bitch to drive me around in my whip while I'm drunk to this Ty Dolla $ign tape b it's only right,1
@_Saltlife13 Long story lol but I've missed you faggot,1
RT @ObamaStrawman: Joan Rivers said I was gay and Michelle was a tranny. Perhaps her death was no accident. See Clinton's and Ron Brown/Vin&#8230;,1
"RT @makenzies_mask: Yo bitch, what cho name bitch? I wanna fuck ya bitch. -Jacey (the things she says to me doe) @__0utcast___ #bff #baby #&#8230;",1
2 year starting on me on the street... so i put a fag out on him. #funnyguy,1
"""@fIirting: HE'S DOING IT RIGHT &#128525;&#128120;&#128158; http://t.co/JZKkiVUVjC"" no bitches smh",1
"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch",1
I show love to everybody not on joe time i just hate stuck up people thats hoe shit,1
RT @_ThatBoyKing: All you hoes wake up,1
"@InFaMouS_StAcKz hell no cause Brad still walked away like "" yeah i fucked that niggas bitch "" &#128514;",1
